0.635	1.000e-5
0.504	1.453e-5
0.384	2.375e-5
0.310	3.414e-5
0.230	6.864e-5
0.276	5.421e-5
0.345	4.614e-5
0.398	4.680e-5
0.427	5.699e-5
0.438	6.765e-5
0.442	9.664e-5
0.442	1.415e-4
0.442	2.153e-4
0.442	3.175e-4
0.444	5.645e-4
0.460	7.139e-4
0.479	0.001
0.561	8.883e-4
0.796	6.417e-4
0.979	5.746e-4
1.368	3.091e-4
1.540	3.039e-4
1.943	3.718e-4
2.072	0.007
2.480	0.006
3.237	0.004
3.639	0.004
3.985	0.005
4.127	0.008
4.974	0.005
5.566	0.005
6.261	0.004
8.306	0.004
9.833	0.004
9.973	0.031
0.098	0.031
0.100	1.000e-05
